OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION,OPPORTUNITY STATUS
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347708"",""NAGOYA-PAS-FY23-01"")",Building Indo Pacific Cyber Security Allied with eSports,DOS-JPN,U.S. Mission to Japan,70000,1,"Tokyo PAS
Grants management",,TokyoPASgrants@state.gov,,,04/28/2023,06/30/2023,04/26/2023 19:56:26,Synopsis 1,Posted,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347813"",""FR-AMT-23-005"")",FY23 Supplemental for the National Network Cooperative Agreement to the National Railroad Passenger Corporation,DOT-FRA,DOT - Federal Railroad Administration,878172428,1,"GrantSolutions Help Desk

Phone Number: 1.866.577.0771 or 202.401.5282

Hours of operation are Monday-Friday from 9:00 a.m. to 6:00 p.m. ET
help@grantsolutions.gov",,help@grantsolutions.gov,,,04/28/2023,05/05/2023,04/27/2023 15:19:27,Synopsis 1,Posted,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347814"",""FR-AMT-23-004"")",FY23 Supplemental for the Northeast Corridor Cooperative Agreement to the National Railroad Passenger Corporation,DOT-FRA,DOT - Federal Railroad Administration,1065313888,1,"GrantSolutions Help Desk

Phone Number: 1.866.577.0771 or 202.401.5282

Hours of operation are Monday-Friday from 9:00 a.m. to 6:00 p.m. ET
help@grantsolutions.gov",,help@grantsolutions.gov,,,04/28/2023,05/05/2023,04/27/2023 15:19:27,Synopsis 1,Posted,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347832"",""72068723RFA00001"")",USAID LOVA,USAID-MAD,Madagascar USAID-Antananarivo,10000000,1,"Sitraka A Rasolofonirina
Grantor
Phone 00261334432606",,srasolofonirina@usaid.gov,,,04/28/2023,05/30/2023,04/28/2023 08:02:28,Synopsis 1,Posted,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347829"",""STATE-BISHKEK-PDS-23-0005"")",Implementation of C5+1 Youth Council Program,DOS-KGC,U.S. Mission to Kyrgyzstan,,1,PDS Grants Team,,BishkekProjectProposals@state.gov,,,04/28/2023,06/16/2023,04/28/2023 00:06:28,Synopsis 1,Posted,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347831"",""BH-007-FY2023"")",YOUTH LEADERSHIP PROGRAM AND TEACHER DEVELOPMENT PROGRAM – U.S. PARTNER,DOS-BIH,U.S. Mission to Bosnia and Herzegovina,120000,1,"Adis Besic
Emerging Voices Coordinator
Phone 0038733704333",,YLPBiH@state.gov,,,04/28/2023,06/30/2023,04/28/2023 07:31:28,Synopsis 2,Posted,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347830"",""BH005FY2023"")",BOLD ACADEMIC FELLOWSHIPS PROGRAM,DOS-BIH,U.S. Mission to Bosnia and Herzegovina,250000,2,"Adis Besic
Phone 0038733704000",,besica@state.gov,,,04/28/2023,06/16/2023,04/28/2023 06:48:28,Synopsis 1,Posted,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347833"",""ETA-UIPL-22-21-CH2"")","Additional ARPA Funding and Support for States to Strengthen UI Program Integrity, including ID Verification, Fraud Prevention and Detection, and Overpayment Recovery Efforts in All UC Programs",DOL-ETA,Employment and Training Administration,200000000,53,"Bryana Head
head.bryana.f@dol.gov",,head.bryana.f@dol.gov,,,04/28/2023,07/26/2023,04/28/2023 08:58:28,Synopsis 1,Posted,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347837"",""G23AS00353"")",Cooperative Agreement for CESU-affiliated Partner with Desert Southwest Cooperative Ecosystem Studies Unit (CESU),DOI-USGS1,Geological Survey,,,"FAITH GRAVES
fgraves@usgs.gov",,fgraves@usgs.gov,,,04/28/2023,05/29/2023,04/28/2023 10:01:28,Synopsis 1,Posted,,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347835"",""G23AS00352"")",Cooperative Agreement for CESU-affiliated Partner with Great Rivers Cooperative Ecosystem Studies Unit,DOI-USGS1,Geological Survey,,,"FAITH GRAVES
fgraves@usgs.gov",,fgraves@usgs.gov,,,04/28/2023,05/29/2023,04/28/2023 09:59:28,Synopsis 1,Posted,,,,,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=347838"",""G23AS00354"")",Cooperative Agreement for CESU-affiliated Partner with Great Plains Cooperative Ecosystem Studies Unit,DOI-USGS1,Geological Survey,,,"FAITH GRAVES
fgraves@usgs.gov",,fgraves@usgs.gov,,,04/28/2023,05/29/2023,04/28/2023 10:04:28,Synopsis 1,Posted,,,,,
